frame_count,moving_obj,cars,pedestrians
1,5,2,0
2,0,2,0
3,4,4,0
4,4,3,0
5,4,2,0
6,4,2,0
7,4,2,0
8,0,2,0
9,5,4,0
10,4,4,0
11,4,4,0
12,5,1,0
13,4,3,0
14,0,3,0
15,5,2,0
16,5,3,0
17,5,4,0
18,5,3,0
19,5,2,0
20,0,2,0
21,6,3,0
22,6,3,0
23,7,4,0
24,6,4,0
25,7,4,0
26,0,4,0
27,6,4,0
28,6,4,0
29,6,4,0
30,6,3,0
31,8,4,1
32,0,4,0
33,6,3,0
34,6,4,1
35,7,5,1
36,7,4,0
37,8,5,0
38,0,5,0
39,6,3,0
40,6,5,1
41,7,3,2
42,6,2,0
43,6,3,0
44,0,3,0
45,7,4,0
46,6,4,1
47,6,4,0
48,6,5,2
49,6,4,0
50,0,4,0
51,6,3,0
52,6,4,0
53,6,5,0
54,6,3,0
55,5,3,0
56,0,3,0
57,6,3,0
58,6,3,0
59,5,5,0
60,5,4,0
61,5,3,0
62,0,3,0
63,6,3,0
64,4,3,0
65,4,3,0
66,4,4,0
67,5,4,0
68,0,4,1
69,6,4,2
70,4,5,2
71,6,3,2
72,4,3,1
73,5,2,1
74,0,2,1
75,5,5,1
76,3,4,1
77,3,3,1
78,3,3,1
79,3,3,1
80,0,3,1
81,4,4,1
82,3,4,1
83,3,3,0
84,3,2,0
85,3,1,0
86,0,1,0
87,3,3,0
88,3,2,0
89,3,3,0
90,3,3,0
91,3,2,1
92,0,2,0
93,3,1,0
94,3,1,0
95,3,0,0
96,3,2,2
97,0,2,1
98,3,1,1
99,3,1,2
100,3,1,2
101,5,1,2
